CountryNAe,Region,IncomeGrp,Gender,CleanCook,Refugee,CO2,Fertility,ForestArea,Energy,Output,PopBelow,LegalRights
Afghanistan,AP,1.L,0,32.44,59771,0.29944499,4.635,2.06782465,,86.0501113,,9
Albania,EUR,3.UM,1,77.42,138,1.97876331,1.713,28.121897,808.45584,100,7.07096069,6
Algeria,AS,3.UM,1,92.62,94232,3.7174099,2.776,0.82443927,1321.09949,0.3226838,0.75750059,2
American Samoa,AP,,,,,,,87.5,,0.88547816,3.2710141,
Andorra,EUR,4.H,,100,,5.83216995,,34.0425532,,86.1167002,,
Angola,AF,3.UM,1,48.05,15555,1.29132832,5.694,46.3072104,545.040491,53.1749283,1.43609437,1
Antigua and Barbuda,SLA,4.H,1,98.75,4,5.37764855,2.051,22.2727277,,0,11.8295485,5
Argentina,SLA,3.UM,,98.4,3293,4.74679745,2.293,9.79840582,2015.18704,28.1400691,3.0289127,3
Armenia,EUR,2.LM,1,96.9,17886,1.90275891,1.612,11.6684233,1018.07124,28.3369663,,6
Aruba,SLA,4.H,,,1,8.40836264,1.8,2.33333326,,14.8561614,7.06916655,
Australia,AP,4.H,,100,42188,15.3701378,1.809,16.2582781,5328.22399,13.6378411,4.51662076,11
Austria,EUR,4.H,,100,93250,6.86986793,1.49,46.9057128,3763.3279,76.4907793,,4
Azerbaijan,AP,3.UM,,95.54,1193,3.93156061,1.94,14.0996733,1502.07817,7.03985742,,2
"Bahamas, The",SLA,4.H,0,100,13,6.32325751,1.767,51.4485514,,0,20.2849726,6
Bahrain,AS,4.H,1,100,271,23.4497548,2.033,0.78406168,10593.9971,0,34.2816532,1
Bangladesh,AP,1.L,1,17.72,276207,0.45914196,2.104,10.9579782,222.220959,1.2268899,8.91614336,5
Barbados,SLA,4.H,0,99.44,,4.49017767,1.797,14.6511632,,0,0.70570877,6
Belarus,EUR,3.UM,0,98.18,1650,6.70195771,1.733,42.6301065,2928.52022,0.81567983,0,2
Belgium,EUR,4.H,0,100,42168,8.3281599,1.7,22.5838846,4708.22122,20.800023,11.1668943,4
Belize,SLA,3.UM,1,85.43,,1.40760149,2.51,59.6790894,,45.2399305,20.5320045,4
Benin,AF,1.L,,6.44,809,0.61421385,4.977,37.7882228,416.795765,5.55555556,11.8514495,6
Bermuda,NAm,4.H,,,,8.83831499,1.61,18.5185182,,0,11.8642671,
Bhutan,AP,2.LM,1,52.5,,1.28932137,2.051,72.4845367,,99.9935464,,4
Bolivia,SLA,2.LM,1,64,786,1.9324195,2.878,50.2861627,788.804353,31.402439,,0
Bosnia and Herzegovina,EUR,3.UM,1,63.38,5271,6.23471916,1.36,42.6757813,2194.05598,35.5173076,0.11171385,7
Botswana,AF,3.UM,1,64.08,2093,3.24328764,2.73,18.9469409,1252.67999,0.03370408,,5
Brazil,SLA,3.UM,1,95.59,9689,2.59438829,1.726,58.931054,1484.92664,73.966908,2.55821037,2
British Virgin Islands,SLA,,,,,6.07283358,,24.1333326,,1.28626982,12.0115932,
Brunei Darussalam,AP,4.H,,100,,22.1247012,1.874,72.1062619,8632.32565,0.04761905,1.60902847,5
Bulgaria,EUR,3.UM,,88.65,17814,5.87161587,1.53,35.3739863,2477.6554,17.988593,0.73520504,8
Burkina Faso,AF,1.L,1,8.93,32552,0.16201881,5.353,19.335527,,9.35403868,,6
Burundi,AF,1.L,1,0.85,57469,0.04448538,5.697,10.9267915,,82.7093851,,2
Cabo Verde,AF,2.LM,1,71.05,,0.93340324,2.334,22.5459059,,20.2084966,5.63699438,1
Cambodia,AP,1.L,1,17.69,66,0.43776,2.56,52.8529323,416.939661,46.4180123,7.1866171,10
Cameroon,AF,2.LM,,23.04,375415,0.31492807,4.708,39.3391297,341.862672,76.1171944,0.45664628,6
Canada,NAm,4.H,1,100,97332,15.1171588,1.6,38.1615467,7876.09411,63.01145,2.2214963,9
Caribbean small states,,,,91.5059231,156,8.88454138,2.03449475,85.0334451,,8.91477955,11.5754734,5.30769231
Cayman Islands,SLA,4.H,,,18,9.17183803,,52.9166659,,0,12.0723289,
Central African Republic,AF,1.L,,0.97,12115,0.06659311,4.869,35.5619769,,99.4152047,,6
Chad,AF,1.L,1,3.13,391251,0.05377769,5.947,3.77096561,,0,,6
Channel Islands,,,,,,,1.478,4.04040426,,0,,
Chile,SLA,4.H,,92.28,1737,4.68737662,1.774,24.2569251,2049.68883,43.604335,0.36783297,4
China,AP,3.UM,,59.26,317255,7.54390764,1.624,22.3539418,2236.72991,23.9268172,6.55333248,4
Colombia,SLA,3.UM,1,91.79,258,1.75953717,1.853,52.7039383,711.58318,68.2368112,1.22492959,12
Comoros,AS,1.L,,9.34,,0.20281412,4.347,19.6668443,,0,0.72385116,6
"Congo, Dem. Rep.",AF,1.L,1,4.02,451956,0.06336919,6.112,67.1650796,389.567388,99.8210691,0.04127863,6
"Congo, Rep.",AF,2.LM,,24.13,46457,0.63536929,4.661,65.3546109,539.531617,53.3448674,0.48008717,6
Costa Rica,SLA,3.UM,0,93.45,4180,1.63095106,1.783,54.5671749,1031.1415,99.0011099,0.36170222,10
Cote d'Ivoire,AF,2.LM,1,18.23,1399,0.49020605,4.911,32.7062881,615.803314,16.7259786,3.76494246,6
Croatia,EUR,4.H,,92.7,304,3.97380491,1.4,34.3531098,1897.84067,66.8268375,1.84929244,5
Cuba,SLA,3.UM,,79.44,316,3.04521062,1.722,31.2786012,1022.66891,3.94814669,2.90714222,
Curacao,,,,,54,37.7262891,1.7,,12650.8604,3.71229698,,
Cyprus,EUR,4.H,1,100,8484,5.26035204,1.343,18.6872292,1712.12409,8.78005736,5.63504184,7
Czech Republic,EUR,4.H,,97.13,3644,9.16597838,1.57,34.5635846,3915.11358,11.4045705,,7
Denmark,EUR,4.H,,100,33507,5.93571248,1.71,14.6992134,2872.57355,65.5059246,16.3382366,8
Djibouti,AS,2.LM,,11.52,17683,0.79196175,2.847,0.24158757,,0,12.3520451,1
Dominica,SLA,3.UM,1,90.6,,1.86428591,,57.4133352,,16.1757893,0.98172487,6
Dominican Republic,SLA,3.UM,1,90.41,592,2.06998663,2.422,41.7346295,734.407896,11.632443,1.2300408,1
Ecuador,SLA,3.UM,1,95.58,102848,2.76170218,2.486,50.2059526,891.68862,52.8029423,5.19022974,1
"Egypt, Arab Rep.",AS,2.LM,1,97.62,213530,2.19898025,3.265,0.07393641,814.988059,8.25928551,21.5237193,2
El Salvador,SLA,2.LM,,86,45,1.00064462,2.079,12.5772204,647.30961,57.8226749,0.49698759,9
Equatorial Guinea,AF,4.H,1,34.39,,4.73381653,4.687,55.4866319,,57.827476,0.94875048,6
Eritrea,AF,1.L,,16.32,2342,,4.133,14.9069305,,0.49261084,0.76754883,0
Estonia,EUR,4.H,1,92.89,322,14.8488192,1.58,51.3365562,4592.61646,14.4187386,2.90647588,7
Eswatini,AF,3.UM,1,49.7,728,0.92871499,3.084,34.3372079,,46.5725806,0,4
Ethiopia,AF,1.L,1,3.51,791631,0.11912401,4.198,12.5395996,496.814601,99.9616748,0,3
Faroe Islands,EUR,,,,,12.2378486,2.6,0.05730659,,60.0714356,6.77179036,
Fiji,AP,3.UM,1,39.56,12,1.32057471,2.516,55.9419813,,45.0158848,4.89292457,5
Finland,EUR,4.H,,100,18401,8.66072124,1.65,73.1071699,6213.35777,44.4990306,1.86456478,7
France,EUR,4.H,,100,304546,4.57318215,1.96,31.2332784,3658.86571,15.8576666,2.89215559,4
French Polynesia,AP,,,,,2.91513482,2.013,42.3497268,,32.0120974,4.96923195,
Gabon,AF,3.UM,,79.12,931,2.76826572,3.786,90.037645,2705.82333,43.7441204,4.93705266,6
"Gambia, The",AF,1.L,1,3.3,7940,0.26768489,5.425,48.3794472,,0,23.5332488,7
Georgia,EUR,2.LM,,77.79,2125,2.41154199,1.996,40.6159146,1177.87041,78.0393243,2.7550125,9
Germany,EUR,4.H,,100,669482,8.88937039,1.5,32.6912068,3779.46192,29.2317701,4.04324938,6
Ghana,AF,2.LM,1,21.71,11865,0.53653338,3.984,41.1593583,335.050529,50.8920024,2.62270564,6
Gibraltar,EUR,,,,,15.5134849,,0,5759.00464,0,29.0115518,
Greece,EUR,4.H,,94.29,46427,6.18033727,1.33,31.6850268,2123.89789,28.6557833,4.49386429,3
Greenland,EUR,,,,,8.98918199,2,0.000536,,81.2915258,46.4598338,
Grenada,SLA,3.UM,1,96.58,1,2.27549831,2.104,49.9705876,,0,1.88581763,6
Guam,AP,,,,,,2.347,46.2962963,,0,1.24819152,
Guatemala,SLA,2.LM,,45.23,300,1.15097799,2.973,32.6950364,830.094516,60.3906674,0.21247546,9
Guinea,AF,1.L,,1.24,5068,0.20749262,4.855,25.7528895,,78.751565,6.04704379,6
Guinea-Bissau,AF,1.L,,1.52,9263,0.15724117,4.633,69.772404,,0,15.2648231,6
Guyana,SLA,2.LM,1,74.48,11,2.63234795,2.51,83.9014478,,0,27.8686511,3
Haiti,SLA,1.L,,4.34,5,0.27053859,2.919,3.49056593,392.801169,7.99614644,1.86798562,2
Honduras,SLA,2.LM,1,53.1,16,1.07522179,2.462,39.9678255,607.86465,42.2755159,0.9044387,9
"Hong Kong SAR, ChiNA",AP,4.H,,,110,6.39360053,1.205,,1970.48413,0.27872732,10.3276898,8
Hungary,EUR,3.UM,1,100,4748,4.26557498,1.45,22.9051154,2314.49643,10.5826907,,9
Iceland,EUR,4.H,,100,179,6.05965741,1.8,0.50374065,17916.1204,99.9787223,7.55774188,5
India,AP,2.LM,1,41.04,197851,1.73000043,2.326,23.8331215,637.42863,15.3430503,2.66496035,6
