"","Artist","Title","ChordProg","WeekID","Week.Position","Instance","Previous.Week.Position","Peak.Position","Weeks.on.Chart","Genre","Followers","NumAlbums","Gender","Group.Solo"
"1","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","7/1/2000",7,1,9,7,9,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"2","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","5/6/2000",82,1,NA,82,1,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"3","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","9/9/2000",13,1,10,1,19,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"4","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","10/7/2000",28,1,23,1,23,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"5","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","9/30/2000",23,1,18,1,22,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"6","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","5/13/2000",70,1,82,70,2,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"7","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","6/17/2000",15,1,19,15,7,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"8","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","9/16/2000",15,1,13,1,20,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"9","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","7/8/2000",7,1,7,7,10,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"10","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","10/21/2000",48,1,38,1,25,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"11","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","6/10/2000",19,1,26,19,6,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"12","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","10/14/2000",38,1,28,1,24,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"13","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","7/22/2000",4,1,5,4,12,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"14","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","8/19/2000",4,1,3,1,16,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"15","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","6/3/2000",26,1,39,26,5,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"16","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","7/15/2000",5,1,7,5,11,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"17","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","9/23/2000",18,1,15,1,21,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"18","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","9/2/2000",10,1,6,1,18,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"19","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","8/26/2000",6,1,4,1,17,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"20","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","6/24/2000",9,1,15,9,8,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"21","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","5/20/2000",51,1,70,51,3,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"22","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","5/27/2000",39,1,51,39,4,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"23","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","8/12/2000",3,1,1,1,15,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"24","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","7/29/2000",1,1,4,1,13,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"25","'N SYNC","IT'S GONNA BE ME","vi.V.IV.V","8/5/2000",1,1,1,1,14,"Memes,Dance-Pop,Teen Pop,Boy Band,Pop",NA,NA,NA,NA
"26","1927","IF I COULD","IV.iv.I",NA,101,NA,NA,101,0,NA,NA,NA,NA,NA
"27","3 DOORS DOWN","BE LIKE THAT","I.V.vi.IV","11/3/2001",25,1,25,25,15,"Post-Grunge,Alternative Rock,Rock",2393833,8,"M","Group"
"28","3 DOORS DOWN","BE LIKE THAT","I.V.vi.IV","8/18/2001",65,1,65,65,4,"Post-Grunge,Alternative Rock,Rock",2393833,8,"M","Group"
"29","3 DOORS DOWN","BE LIKE THAT","I.V.vi.IV","9/8/2001",48,1,55,48,7,"Post-Grunge,Alternative Rock,Rock",2393833,8,"M","Group"
"30","3 DOORS DOWN","BE LIKE THAT","I.V.vi.IV","8/25/2001",62,1,65,62,5,"Post-Grunge,Alternative Rock,Rock",2393833,8,"M","Group"
"31","3 DOORS DOWN","BE LIKE THAT","I.V.vi.IV","8/11/2001",65,1,72,65,3,"Post-Grunge,Alternative Rock,Rock",2393833,8,"M","Group"
